ticker,company_name,cik,adsh,form,fy,fp,period_end,filed_at,revenue,operating_income,net_income,diluted_eps,operating_cash_flow,capex,net_margin,operating_margin,free_cash_flow
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001193125-18-238892,10-Q,2018.0,Q2,2018-06-30,2018-08-06,62200000000.0,,12011000000.0,,16091000000.0,6329000000.0,0.19310289389067525,,9762000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001193125-18-317734,10-Q,2018.0,Q3,2018-09-30,2018-11-05,45427000000.0,,18540000000.0,,26555000000.0,10040000000.0,0.4081273251590464,,16515000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001193125-19-048926,10-K,2018.0,FY,2018-12-31,2019-02-25,175445000000.0,,4021000000.0,,37400000000.0,14537000000.0,0.022918863461483654,,22863000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001193125-19-137433,10-Q,2019.0,Q1,2019-03-31,2019-05-06,42392000000.0,,21661000000.0,,7577000000.0,3151000000.0,0.5109690507642951,,4426000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001564590-19-028491,10-Q,2019.0,Q2,2019-06-30,2019-08-05,44460000000.0,,14073000000.0,,16762000000.0,6747000000.0,0.31653171390013496,,10015000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0000950123-19-009995,10-Q,2019.0,Q3,2019-09-30,2019-11-04,45169000000.0,,16524000000.0,,26610000000.0,11139000000.0,0.365826119683854,,15471000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001564590-20-005874,10-K,2019.0,FY,2019-12-31,2020-02-24,176512000000.0,,81417000000.0,,38687000000.0,15979000000.0,0.46125475888324874,,22708000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001564590-20-020599,10-Q,2020.0,Q1,2020-03-31,2020-05-04,41452000000.0,,-49746000000.0,,6798000000.0,2968000000.0,-1.2000868474380006,,3830000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001564590-20-038544,10-Q,2020.0,Q2,2020-06-30,2020-08-10,37378000000.0,,26295000000.0,,17466000000.0,6187000000.0,0.7034886831826208,,11279000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001564590-20-052144,10-Q,2020.0,Q3,2020-09-30,2020-11-09,43494000000.0,,30137000000.0,,29227000000.0,9516000000.0,0.6929001701384099,,19711000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001564590-21-009611,10-K,2020.0,FY,2020-12-31,2021-03-01,166733000000.0,,42521000000.0,,39773000000.0,13012000000.0,0.25502450024890094,,26761000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001564590-21-022703,10-Q,2021.0,Q1,2021-03-31,2021-05-03,44623000000.0,,11711000000.0,,9306000000.0,2519000000.0,0.26244313470631736,,6787000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001564590-21-042312,10-Q,2021.0,Q2,2021-06-30,2021-08-09,48110000000.0,,28094000000.0,,19559000000.0,5663000000.0,0.5839534400332571,,13896000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001564590-21-055032,10-Q,2021.0,Q3,2021-09-30,2021-11-08,49014000000.0,,10344000000.0,,31626000000.0,9244000000.0,0.21104174317541927,,22382000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001564590-22-007322,10-K,2021.0,FY,2021-12-31,2022-02-28,276094000000.0,,89795000000.0,,39421000000.0,13276000000.0,0.32523343498953255,,26145000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001564590-22-016907,10-Q,2022.0,Q1,2022-03-31,2022-05-02,70810000000.0,,5460000000.0,,6829000000.0,3090000000.0,0.07710775314221155,,3739000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001564590-22-028282,10-Q,2022.0,Q2,2022-06-30,2022-08-08,76180000000.0,,-43755000000.0,,15361000000.0,6833000000.0,-0.5743633499606196,,8528000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0000950170-22-022287,10-Q,2022.0,Q3,2022-09-30,2022-11-07,76934000000.0,,-2688000000.0,,27023000000.0,10907000000.0,-0.034939038656510775,,16116000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0000950170-23-004451,10-K,2022.0,FY,2022-12-31,2023-02-27,302089000000.0,,-22819000000.0,,37224000000.0,15464000000.0,-0.07553734164434985,,21760000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0000950170-23-018438,10-Q,2023.0,Q1,2023-03-31,2023-05-08,85393000000.0,,35504000000.0,,8693000000.0,3713000000.0,0.41577178457250596,,4980000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0000950170-23-038705,10-Q,2023.0,Q2,2023-06-30,2023-08-07,92503000000.0,,35912000000.0,,21127000000.0,8398000000.0,0.3882252467487541,,12729000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0000950170-23-058993,10-Q,2023.0,Q3,2023-09-30,2023-11-06,93210000000.0,,-12767000000.0,,34796000000.0,13701000000.0,-0.1369702821585667,,21095000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0000950170-24-019719,10-K,2023.0,FY,2023-12-31,2024-02-26,364482000000.0,,96223000000.0,,49196000000.0,19409000000.0,0.2639993195823113,,29787000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0000950170-24-053185,10-Q,2024.0,Q1,2024-03-31,2024-05-06,89869000000.0,,12702000000.0,,10566000000.0,4393000000.0,0.1413390601876064,,6173000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0000950170-24-090305,10-Q,2024.0,Q2,2024-06-30,2024-08-05,93653000000.0,,30348000000.0,,24168000000.0,8928000000.0,0.3240472809199919,,15240000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0000950170-24-120241,10-Q,2024.0,Q3,2024-09-30,2024-11-04,92995000000.0,,26251000000.0,,25971000000.0,13629000000.0,0.28228399376310553,,12342000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0000950170-25-025210,10-K,2024.0,FY,2024-12-31,2025-02-24,371433000000.0,,88995000000.0,,30592000000.0,18976000000.0,0.23959906631882466,,11616000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0000950170-25-063112,10-Q,2025.0,Q1,2025-03-31,2025-05-05,89725000000.0,,4603000000.0,,10903000000.0,4281000000.0,0.05130119810532182,,6622000000.0
GOOGL,ALPHABET INC,1652044,0001652044-15-000005,10-Q,2015.0,Q3,2015-09-30,2015-10-29,18675000000.0,4708000000.0,3979000000.0,22.92,19609000000.0,7815000000.0,0.21306559571619813,0.2521017402945114,11794000000.0
GOOGL,ALPHABET INC,1652044,0001652044-16-000012,10-K,2015.0,FY,2015-12-31,2016-02-11,74989000000.0,19360000000.0,16348000000.0,92.86,26024000000.0,9915000000.0,0.21800530744509194,0.25817119844243824,16109000000.0
GOOGL,ALPHABET INC,1652044,0001652044-16-000021,10-Q,2016.0,Q1,2016-03-31,2016-05-03,20257000000.0,5342000000.0,4207000000.0,24.08,7658000000.0,2428000000.0,0.2076812953546922,0.2637113096707311,5230000000.0
GOOGL,ALPHABET INC,1652044,0001652044-16-000032,10-Q,2016.0,Q2,2016-06-30,2016-08-04,21500000000.0,5968000000.0,4877000000.0,28.0,16778000000.0,2123000000.0,0.2268372093023256,0.2775813953488372,14655000000.0
GOOGL,ALPHABET INC,1652044,0001652044-16-000038,10-Q,2016.0,Q3,2016-09-30,2016-11-03,22451000000.0,5767000000.0,5061000000.0,29.0,26623000000.0,2554000000.0,0.22542425727139104,0.2568705180170148,24069000000.0
GOOGL,ALPHABET INC,1652044,0001652044-17-000008,10-K,2016.0,FY,2016-12-31,2017-02-03,90272000000.0,23716000000.0,19478000000.0,111.4,36036000000.0,10212000000.0,0.2157701169797944,0.26271712158808935,25824000000.0
GOOGL,ALPHABET INC,1652044,0001652044-17-000014,10-Q,2017.0,Q1,2017-03-31,2017-05-02,24750000000.0,6568000000.0,5426000000.0,7.73,9548000000.0,2508000000.0,0.21923232323232322,0.2653737373737374,7040000000.0
GOOGL,ALPHABET INC,1652044,0001652044-17-000026,10-Q,2017.0,Q2,2017-06-30,2017-07-25,26010000000.0,4132000000.0,3524000000.0,5.01,16951000000.0,2831000000.0,0.13548635140330642,0.15886197616301423,14120000000.0
GOOGL,ALPHABET INC,1652044,0001652044-17-000042,10-Q,2017.0,Q3,2017-09-30,2017-10-27,27772000000.0,7782000000.0,6732000000.0,9.57,26823000000.0,3538000000.0,0.2424024197032983,0.28021028373901774,23285000000.0
